hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	primary_llm_provider	primary_search_provider	providers_summary	artifact_id	submitted_at	date
hk-67-1	5FFLF6CgQgeDn6bgzFGF2FHMecfCA5gEGQNKZQkDc5AwypZU	23	uid_41	uid_41__artifact_2812f115-ee98-490b-82bb-bbb77c9be17d.py	openrouter	desearch	llm:openrouter | search:desearch+parallel | fetch:parallel	9f4ee3d8-7324-45b5-ac9d-271b5b7df043	2026-08-06T09:13:54.786174Z	2026-08-06
hk-67-13	5CSzbYHqHWignpNDpepZjQ29Sg3AXdWyTa3Kq5wNDZhkvbrK	105	uid_69	uid_69__artifact_2f2cde69-50d5-4df6-826c-65fd98b332a7.py	chutes	desearch	llm:chutes+openrouter | search:desearch+parallel	6f7440dd-989d-4b81-bdc0-f8ef59d51798	2026-08-06T09:13:52.353747Z	2026-08-06
hk-67-15	5H1j52nH6fuPEeii8drWSeH1BgizCqqwh3c6uNYuLPcopiGB	182	uid_177	uid_177__artifact_5921b5bb-99c4-4f29-9845-0c9accec5bc2.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	60c734b2-8aa8-48fb-9e19-8cb048df7275	2026-08-06T09:13:51.971052Z	2026-08-06
hk-67-20	5CACD5ojXDGRuVjA3o15nFWhuKqM6P31nAddhTwuhQv8mai8	208	uid_71	uid_71__artifact_818ef17a-10c8-4505-9a95-1958dc24eab2.py	ai_gateway	desearch	llm:ai_gateway+chutes+openrouter | search:desearch+parallel	e526dbdc-9b1a-460e-a60e-5257a14a81a7	2026-08-06T09:13:56.274978Z	2026-08-06
hk-67-22	5GTogHFaYQQWGcmvVE4xmizpobBSuhC2efLH4PvscNEu5fcm	92	uid_182	uid_182__artifact_09249d84-37d9-4992-aa64-b18186f8707f.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	9979b81d-3a21-441c-93c4-418a77d6197a	2026-08-06T09:13:52.451482Z	2026-08-06
hk-67-24	5FCTj2DNfMCudQw9YNkQWpgk8zBiJs8TCiWqg9t9BDPatG2z	216	uid_246	uid_246__artifact_1ecdad96-bb6c-41f9-8f5e-e93dbf86cbf1.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	ec8cb20f-81e7-4583-99a3-5f05ddd9ce0c	2026-08-06T09:13:54.115732Z	2026-08-06
hk-67-26	5FpmGyfU3wfppD9qsBg7e8NawA7J9yZLMuVY81WdnsaJ1U4B	151	uid_112	uid_112__artifact_179f4796-1dbe-424a-929f-6b01f280187d.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	851a46e8-4cfc-45a4-b4ed-a2b99b399353	2026-08-06T09:13:57.212122Z	2026-08-06
hk-67-42	5EPW6pEkAPx6bryrEyFWtM3Ts4VkJwsYGcbRkvb9HMgnjWwC	50	uid_162	uid_162__artifact_2f510bbe-1568-456d-a8ab-fc96eccc4edf.py	openrouter	desearch	llm:openrouter | search:desearch+parallel | fetch:parallel	7fd6cee1-65df-4959-a73e-e087a39e2cec	2026-08-06T09:13:53.319884Z	2026-08-06
hk-67-8	5C8CRzo6nVHY9tNyJ1xBJDzyUU5vSNYHEUouSRkAXbjZB6MN	177	uid_210	uid_210__artifact_7e3df84a-9895-42ac-8f46-8d7137117981.py	chutes	desearch	llm:chutes+openrouter | search:desearch+parallel	0798af64-0f5d-480e-bb4e-a8be32019366	2026-08-06T09:13:53.283560Z	2026-08-06
