hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	primary_llm_provider	primary_search_provider	providers_summary	date
hk-67-15	5H1j52nH6fuPEeii8drWSeH1BgizCqqwh3c6uNYuLPcopiGB	182	uid_149	uid_149__artifact_ee5a6d02-b2a5-4749-aeca-9825628a6ab0.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-40	5F1DLMkVBjaD3HxF8UrjemCdDfiHpmuZzu4vpz4NaSuGvuWk	181	uid_222	uid_222__artifact_fa5d12cc-a38c-498d-bac6-c6a2da23a28d.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-22	5GTogHFaYQQWGcmvVE4xmizpobBSuhC2efLH4PvscNEu5fcm	92	uid_111	uid_111__artifact_5bf0ab58-b392-435d-9abb-fe0c56631099.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-39	5DFdZnet3LDiddZYGQ2VoMQyhc6mJvRmxPvEPXhdDrYGtVQt	169	uid_115	uid_115__artifact_e465eeef-d66c-4083-b510-e2b7affd4bf9.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-21	5DLYKSZS2L7gRrq2JatxgJn2TneUQQpsiY89LiLktk6Rn8jq	223	uid_57	uid_57__artifact_face8056-1cce-4f03-bfa4-bdec33f1cc64.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
hk-67-1	5FFLF6CgQgeDn6bgzFGF2FHMecfCA5gEGQNKZQkDc5AwypZU	23	uid_240	uid_240__artifact_f6cd4619-2dad-4cff-b5bb-9aef55f17638.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-10	5DnRmBNm9LH5jsXqzEmEd1M17padmGJrZjouN4g7wr3oWACP	3	uid_172	uid_172__artifact_263ff742-4e8e-487c-a421-f5640106d158.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-45	5CJb5e9r3RPtGxsAbHh8jQ3pRkhR2QABXy9qWJYJfuFMkJ4C	172	uid_66	uid_66__artifact_15cc05e3-4f4f-4043-abaa-1eb7ecf8c910.py	openrouter	desearch	llm:openrouter | search:desearch+parallel | fetch:parallel	2026-08-05
hk-67-4	5DjppZuF7hF2YUjUoAb6iEVyQGVdmrJoYjJznbJGfmA9Z9Yu	17	uid_79	uid_79__artifact_b7165812-2a8c-41cb-9ed2-df0e25276670.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-9	5HQhD4f3XRaUm2u8hz1bzWy7A2YNAKZxfsAVKTyYZQQMfqCP	40	uid_84	uid_84__artifact_6ad714ee-628a-47ad-b08d-36a378d3331e.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
hk-67-20	5CACD5ojXDGRuVjA3o15nFWhuKqM6P31nAddhTwuhQv8mai8	208	uid_65	uid_65__artifact_95dd2987-aa6b-4f6a-bbc6-0473411846cd.py	chutes	desearch	llm:chutes+openrouter | search:desearch+parallel	2026-08-05
hk-67-12	5CoUkzmVw6X4Xj9zzXoA2T1ZwRXr2vimbfEQXJvdGXGx6WAg	176	uid_241	uid_241__artifact_93b5fda1-e995-488e-b17d-1fd3c28ed705.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-11	5GWH1rMxPzvwSLV3wZimQt2iMek8JeGNTtoXjs7Wv7uiXgmn	160	uid_107	uid_107__artifact_faaf21c9-c6f0-4126-89b0-ea0add4d2c5b.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
