hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	primary_llm_provider	primary_search_provider	providers_summary	date
hk-67-7	5D9f8Ri9kcPnmCSXzs5oPhZPsXqgHALCMArrqnGSFxYhgSYL	38	uid_24	uid_24__artifact_ea26a089-5a1b-4c88-a636-f4e1cb1c936d.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
hk-67-30	5ELCtSSVcsxPYeFnYe7i2xwjDg3vKLgx7b4c6Cjrv9FhCvtD	132	uid_145	uid_145__artifact_c5ddebda-bf52-44a3-9a39-aa046c1d1049.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-24	5FCTj2DNfMCudQw9YNkQWpgk8zBiJs8TCiWqg9t9BDPatG2z	216	uid_207	uid_207__artifact_d59b2d6a-e00a-4491-8263-51fa488305ac.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-8	5C8CRzo6nVHY9tNyJ1xBJDzyUU5vSNYHEUouSRkAXbjZB6MN	177	uid_180	uid_180__artifact_c3e4e75f-1889-49c8-b0db-0ea46417662c.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
hk-67-17	5CtqhgZgxUCB3c1bY5Ng7W6SFHYR34Cri5H6JtWicNENwnaM	226	uid_78	uid_78__artifact_6bf788c2-2600-413a-8861-c59987c789ba.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-13	5CSzbYHqHWignpNDpepZjQ29Sg3AXdWyTa3Kq5wNDZhkvbrK	105	uid_62	uid_62__artifact_5aacc75b-e943-43a0-9ae6-4fbcc372bedb.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-6	5GxXmRLP8WHRJxfeZJN6ho9nu9ZCWoNbaWaqWbF8dd25soff	60	uid_54	uid_54__artifact_30cb3001-6fca-4728-b217-9d6329c60161.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
hk-67-14	5G9o3Qp9ibFiAduXNq9pK1AcxRQ51iVvssC5DYkfi3TWpeuG	127	uid_253	uid_253__artifact_f67cdad8-6158-4ff7-8726-d7ea8a5a08cc.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-46	5GZKnrJjKJGmcz75j8sKEbPfxXmnLXpN4KxNZaGDEf17Sp5q	162	uid_59	uid_59__artifact_69f02d0b-acf6-46f5-9a33-23b2d1188a83.py	openrouter	desearch	llm:openrouter | search:desearch+parallel | fetch:parallel	2026-08-05
hk-67-3	5D5fNLa5jm45zmw9gQiyzbNKdC2dowUNEos2DWUWh64ir6oz	234	uid_253	uid_253__artifact_5a9593f5-38b6-4a23-a0dd-f586c8ec88e8.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-26	5FpmGyfU3wfppD9qsBg7e8NawA7J9yZLMuVY81WdnsaJ1U4B	151	uid_116	uid_116__artifact_2fbf5809-48d3-4063-a50c-8ec623fbae26.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-43	5GH8REwcYtYMupG17jgbNHQZR5zjwHxVyr9y8V6eNWKCFvyB	90	uid_174	uid_174__artifact_ac88406e-5b5a-4d8a-8db6-ff49e5aec5dd.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-05
hk-67-33	5ER9h9Nh5PrcErAsamt9o2fkRY6XrDcxp6yffhUwP4VjAmpM	104	uid_155	uid_155__artifact_fe99cc79-cfc0-42cd-aae5-8a8df8568120.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
hk-67-41	5Dt6hhZryXZWC8hGePzg3ugp8NVLqzJhgQFtwUFNMpkiRw34	10	uid_242	uid_242__artifact_f219842a-0ca7-4a1a-9fcc-e820c6a7e051.py	openrouter	desearch	llm:openrouter | search:desearch+parallel | fetch:parallel	2026-08-05
hk-67-27	5Gdqiqa2Kj93tAcTPYaWgjbWGyi3FYZ38N4NjTdQ9vYhkVjG	244	uid_3	uid_3__artifact_fe8d0434-8e85-4c3a-91d9-1a008220b7af.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
hk-67-25	5HmUEZ65n5hfpoANptv8Xqx6eknnmvYbXV9ySCwwbjv5EXk9	43	uid_214	uid_214__artifact_45dd8eaa-2799-4bfb-8938-9039d21f9393.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-05
