hotkey_name	hotkey_address	on_chain_uid	agent_name	filename	primary_llm_provider	primary_search_provider	providers_summary	date
hk-67-14	5G9o3Qp9ibFiAduXNq9pK1AcxRQ51iVvssC5DYkfi3TWpeuG	127	uid_194	uid_194__artifact_7bd116a7-486b-4d1c-bee6-566bb7cf738f.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-07
hk-67-20	5CACD5ojXDGRuVjA3o15nFWhuKqM6P31nAddhTwuhQv8mai8	208	uid_254	uid_254__artifact_3c29666e-56e8-420d-8c61-74cba3e82e88.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-07
hk-67-22	5GTogHFaYQQWGcmvVE4xmizpobBSuhC2efLH4PvscNEu5fcm	92	uid_234	uid_234__artifact_44fc68e5-8326-42c8-ab88-1c228f700608.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-07
hk-67-23	5Fn6y1uZGibEW5GtKByE4UCQQCysBk5QaBPJfF2zN5jLYX4H	228	uid_243	uid_243__artifact_cc2cf7d4-d115-47fe-b55f-e4a61edb59fe.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-07
hk-67-24	5FCTj2DNfMCudQw9YNkQWpgk8zBiJs8TCiWqg9t9BDPatG2z	216	uid_102	uid_102__artifact_c495a1d5-9a1c-4742-a6b5-26be71317881.py	openrouter	desearch	llm:openrouter | search:desearch+parallel | fetch:parallel	2026-08-07
hk-67-33	5ER9h9Nh5PrcErAsamt9o2fkRY6XrDcxp6yffhUwP4VjAmpM	52	uid_61	uid_61__artifact_b3336095-a921-4d86-b6f4-15caae4e1a16.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-07
hk-67-4	5DjppZuF7hF2YUjUoAb6iEVyQGVdmrJoYjJznbJGfmA9Z9Yu	252	uid_76	uid_76__artifact_f30f6cb0-0ed0-4831-af6e-799cfc7e5ea2.py	openrouter	desearch	llm:openrouter | search:desearch+parallel | fetch:parallel	2026-08-07
hk-67-43	5GH8REwcYtYMupG17jgbNHQZR5zjwHxVyr9y8V6eNWKCFvyB	90	uid_244	uid_244__artifact_3ec07633-f561-45d3-a2ad-1130066bbfa2.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-07
hk-67-45	5CJb5e9r3RPtGxsAbHh8jQ3pRkhR2QABXy9qWJYJfuFMkJ4C	172	uid_149	uid_149__artifact_6b9a1f19-3792-4725-8894-ac262759b4de.py	openrouter	desearch	llm:openrouter | search:desearch+parallel	2026-08-07
hk-67-8	5C8CRzo6nVHY9tNyJ1xBJDzyUU5vSNYHEUouSRkAXbjZB6MN	177	uid_84	uid_84__artifact_b9ca8b16-0234-46e2-9e55-47768eb35295.py	ai_gateway	desearch	llm:ai_gateway+openrouter | search:desearch+parallel	2026-08-07
